Average_Temperature_Deg_C,Year,Month,Country
-5.71,1901,January,USA
-6.56,1901,February,USA
-0.0,1901,March,USA
4.79,1901,April,USA
12.08,1901,May,USA
16.93,1901,June,USA
20.84,1901,July,USA
19.09,1901,August,USA
13.92,1901,September,USA
8.84,1901,October,USA
0.48,1901,November,USA
-4.4,1901,December,USA
-5.77,1902,January,USA
-4.48,1902,February,USA
-1.11,1902,March,USA
5.37,1902,April,USA
12.69,1902,May,USA
16.95,1902,June,USA
19.42,1902,July,USA
18.47,1902,August,USA
13.48,1902,September,USA
8.23,1902,October,USA
0.65,1902,November,USA
-6.81,1902,December,USA
-6.66,1903,January,USA
-6.47,1903,February,USA
0.02,1903,March,USA
4.89,1903,April,USA
11.46,1903,May,USA
16.1,1903,June,USA
19.0,1903,July,USA
18.42,1903,August,USA
13.58,1903,September,USA
7.37,1903,October,USA
-0.88,1903,November,USA
-4.37,1903,December,USA
-7.87,1904,January,USA
-6.68,1904,February,USA
-0.79,1904,March,USA
5.38,1904,April,USA
12.02,1904,May,USA
16.66,1904,June,USA
19.27,1904,July,USA
17.77,1904,August,USA
14.09,1904,September,USA
7.71,1904,October,USA
0.91,1904,November,USA
-4.04,1904,December,USA
-6.6,1905,January,USA
-5.75,1905,February,USA
2.56,1905,March,USA
6.36,1905,April,USA
11.83,1905,May,USA
17.0,1905,June,USA
19.05,1905,July,USA
18.85,1905,August,USA
14.36,1905,September,USA
6.61,1905,October,USA
1.66,1905,November,USA
-5.44,1905,December,USA
-7.27,1906,January,USA
-3.62,1906,February,USA
-1.46,1906,March,USA
6.51,1906,April,USA
11.78,1906,May,USA
16.58,1906,June,USA
19.23,1906,July,USA
18.61,1906,August,USA
15.2,1906,September,USA
7.68,1906,October,USA
-0.18,1906,November,USA
-4.38,1906,December,USA
-5.52,1907,January,USA
-5.31,1907,February,USA
1.08,1907,March,USA
4.61,1907,April,USA
10.49,1907,May,USA
15.8,1907,June,USA
19.28,1907,July,USA
18.37,1907,August,USA
14.22,1907,September,USA
7.43,1907,October,USA
-0.22,1907,November,USA
-3.39,1907,December,USA
-4.89,1908,January,USA
-3.93,1908,February,USA
0.61,1908,March,USA
6.15,1908,April,USA
11.54,1908,May,USA
16.47,1908,June,USA
19.72,1908,July,USA
17.98,1908,August,USA
14.17,1908,September,USA
6.39,1908,October,USA
0.7,1908,November,USA
-3.33,1908,December,USA
-6.66,1909,January,USA
-4.53,1909,February,USA
-0.99,1909,March,USA
4.43,1909,April,USA
11.05,1909,May,USA
16.99,1909,June,USA
19.51,1909,July,USA
19.08,1909,August,USA
13.87,1909,September,USA
6.89,1909,October,USA
0.84,1909,November,USA
