Average_Temperature_Deg_C,Year,Month,Country
6.62,1901,,USA
6.46,1902,,USA
6.07,1903,,USA
6.15,1904,,USA
6.6,1905,,USA
6.52,1906,,USA
6.33,1907,,USA
6.7,1908,,USA
6.04,1909,,USA
6.57,1910,,USA
6.6,1911,,USA
6.38,1912,,USA
6.6,1913,,USA
6.96,1914,,USA
6.81,1915,,USA
6.16,1916,,USA
6.37,1918,,USA
6.49,1919,,USA
6.09,1920,,USA
7.39,1921,,USA
6.66,1922,,USA
6.81,1923,,USA
6.05,1924,,USA
6.94,1925,,USA
7.32,1926,,USA
6.57,1927,,USA
6.93,1928,,USA
6.57,1929,,USA
6.69,1930,,USA
7.49,1931,,USA
6.48,1932,,USA
6.76,1933,,USA
7.66,1934,,USA
6.74,1935,,USA
6.95,1936,,USA
6.84,1937,,USA
7.42,1938,,USA
7.14,1939,,USA
7.29,1940,,USA
7.37,1941,,USA
7.01,1942,,USA
7,1943,,USA
6.98,1944,,USA
6.66,1945,,USA
7.02,1946,,USA
6.85,1947,,USA
6.37,1948,,USA
6.89,1949,,USA
6.63,1950,,USA
6.41,1951,,USA
6.91,1952,,USA
7.43,1953,,USA
7.19,1954,,USA
6.34,1955,,USA
6.4,1956,,USA
7.2,1957,,USA
7.05,1958,,USA
6.68,1959,,USA
6.72,1960,,USA
6.49,1961,,USA
6.91,1962,,USA
7.02,1963,,USA
6.27,1964,,USA
6.47,1965,,USA
6.28,1966,,USA
6.87,1967,,USA
6.48,1968,,USA
6.76,1969,,USA
6.6,1970,,USA
6.23,1971,,USA
6.24,1972,,USA
6.84,1973,,USA
6.6,1974,,USA
6.21,1975,,USA
6.5,1976,,USA
7.21,1977,,USA
6.9,1978,,USA
6.69,1979,,USA
7.07,1980,,USA
7.77,1981,,USA
6.47,1982,,USA
6.95,1983,,USA
6.69,1984,,USA
6.55,1985,,USA
7.45,1986,,USA
7.61,1987,,USA
7.2,1988,,USA
6.83,1989,,USA
7.39,1990,,USA
7.5,1991,,USA
6.97,1992,,USA
7.1,1993,,USA
7.29,1994,,USA
7.42,1995,,USA
6.7,1996,,USA
7.05,1997,,USA
7.16,1999,,USA
7.43,2000,,USA
7.57,2001,,USA
7.75,2002,,USA
7.69,2003,,USA
7.67,2004,,USA
7.86,2005,,USA
7.89,2006,,USA
7.81,2007,,USA
6.94,2008,,USA
7.1,2009,,USA
7.41,2010,,USA
7.41,2011,,USA
7.94,2012,,USA
