Average_Temperature_Deg_C,Year,Month,Country
-2.32,2020-2039,February,USA
1.35,2020-2039,March,USA
6.62,2020-2039,April,USA
12.97,2020-2039,May,USA
18.41,2020-2039,June,USA
20.98,2020-2039,July,USA
20.18,2020-2039,August,USA
15.77,2020-2039,September,USA
9.58,2020-2039,October,USA
3.0,2020-2039,November,USA
-2.02,2020-2039,December,USA
-1.79,2040-2059,January,USA
-1.31,2040-2059,February,USA
2.47,2040-2059,March,USA
7.79,2040-2059,April,USA
13.97,2040-2059,May,USA
19.32,2040-2059,June,USA
22.45,2040-2059,July,USA
21.38,2040-2059,August,USA
16.66,2040-2059,September,USA
10.85,2040-2059,October,USA
4.23,2040-2059,November,USA
-0.17,2040-2059,December,USA
-0.66,2060-2079,January,USA
0.57,2060-2079,February,USA
3.83,2060-2079,March,USA
8.28,2060-2079,April,USA
14.58,2060-2079,May,USA
20.44,2060-2079,June,USA
23.52,2060-2079,July,USA
22.79,2060-2079,August,USA
18.29,2060-2079,September,USA
11.74,2060-2079,October,USA
5.39,2060-2079,November,USA
1.15,2060-2079,December,USA
0.16,2080-2099,January,USA
1.55,2080-2099,February,USA
4.69,2080-2099,March,USA
10.0,2080-2099,April,USA
16.09,2080-2099,May,USA
21.69,2080-2099,June,USA
24.0,2080-2099,August,USA
19.67,2080-2099,September,USA
13.03,2080-2099,October,USA
6.77,2080-2099,November,USA
2.23,2080-2099,December,USA
